ibu,size,style,brewery_location,id,name,abv,brewery_name
N/A,12 oz.,English Brown Ale,"Longmont, CO",1751,One Nut Brown,5.0%,Oskar Blues Brewery
N/A,12 oz.,American IPA,"Longmont, CO",1750,Birth IPA,???,Oskar Blues Brewery
45,12 oz.,American IPA,"Burlington, VT",1749,Just IPA,4.6%,The Just Beer Project
16,16 oz.,American Pale Ale (APA),"Bronx, NY",1748,Bronx Summer Pale Ale,5.2%,The Bronx Brewery
46,16 oz.,American Black Ale,"Bronx, NY",1747,Bronx Black Pale Ale,5.7%,The Bronx Brewery
37,12 oz.,American Amber / Red Ale,"Tulsa, OK",1746,Dead Armadillo Amber Ale,6.3%,Dead Armadillo Craft Brewing
80,16 oz.,American Amber / Red Ale,"Hattiesburg, MS",1745,Mississippi Fire Ant,8.0%,Southern Prohibition Brewing Com...
N/A,12 oz.,Cream Ale,"Morganton, NC",1744,Farmer Ted's Cream Ale,5.6%,Catawba Brewing Company
N/A,12 oz.,American IPA,"Morganton, NC",1743,Firewater India Pale Ale,5.2%,Catawba Brewing Company
N/A,12 oz.,Witbier,"Morganton, NC",1742,White Zombie Ale,4.7%,Catawba Brewing Company
15,16 oz.,Hefeweizen,"Albuquerque, NM",1741,A Slice of Hefen,5.4%,La Cumbre Brewing Company
23,12 oz.,Bière de Garde,"Conroe, TX",1740,Le Mort Vivant,6.9%,Southern Star Brewing Company
85,16 oz.,American Black Ale,"Brooklyn Center, MN",1739,BLAKKR,9.9%,Surly Brewing Company
N/A,12 oz.,Gose,"Boonville, CA",1738,"the Kimmie, the Yink and the Holy Gose",4.8%,Anderson Valley Brewing Company
N/A,12 oz.,American Amber / Red Lager,"Fort Collins, CO",1737,California Route,5.5%,New Belgium Brewing Company
35,16 oz.,American Porter,"Manhattan, KS",1736,Zombie Monkie,6.2%,Tallgrass Brewing Company
N/A,12 oz.,American Blonde Ale,"Diamond Springs, CA",1735,Sprocket Blonde Ale (2006),5.0%,David's Ale Works
N/A,12 oz.,American Pale Ale (APA),"Diamond Springs, CA",1734,Sprocket Pale Ale (2006),5.0%,David's Ale Works
20,12 oz.,American Blonde Ale,"Paso Robles, CA",1733,805,4.7%,Firestone Walker Brewing Company
N/A,12 oz.,Shandy,"Burlington, VT",1732,Curious Traveler Shandy,4.4%,The Traveler Beer Company
N/A,16 oz.,Fruit / Vegetable Beer,"Estacada, OR",1731,Peaches & Cream,4.6%,Fearless Brewing Company
31,12 oz.,American Brown Ale,"Meadville, PA",1730,Wynona's Big Brown Ale,7.5%,Voodoo Brewery
25,12 oz.,Belgian Strong Pale Ale,"Meadville, PA",1729,Gran Met,9.2%,Voodoo Brewery
110,12 oz.,American Double / Imperial IPA,"Conroe, TX",1728,Red Cockaded Ale,8.5%,Southern Star Brewing Company
22,16 oz.,Scotch Ale / Wee Heavy,"Eagle, CO",1727,Kilt Dropper Scotch Ale,7.5%,Bonfire Brewing Company
60,12 oz.,American IPA,"Tampa, FL",1726,Hopped on the High Seas (Hop #529),7.0%,Cigar City Brewing Company
60,12 oz.,American IPA,"Tampa, FL",1725,Hopped on the High Seas (Calypso),7.0%,Cigar City Brewing Company
N/A,16 oz.,American Porter,"Rochester, MI",1724,Cal and Co. Black Cherry Porter,???,Rochester Mills Brewing Company
83,12 oz.,American IPA,"Salt Lake City, UT",1723,Hop Nosh IPA,7.3%,Uinta Brewing Company
32,12 oz.,American Pale Ale (APA),"Fargo, ND",1722,Iron Horse Pale Ale,5.0%,Fargo Brewing Company
N/A,12 oz.,Hefeweizen,"Arvada, CO",1721,Heliocentric Hefeweizen,4.7%,Odyssey Beerwerks
N/A,12 oz.,American Pale Ale (APA),"Arvada, CO",1720,Ghose Drifter Pale Ale,5.1%,Odyssey Beerwerks
N/A,12 oz.,Winter Warmer,"Morganton, NC",1719,King Winterbolt Winter Ale,7.0%,Catawba Brewing Company
21,12 oz.,American Blonde Ale,"Blanco, TX",1718,Firemans #4 Blonde Ale (2013),5.1%,Real Ale Brewing Company
N/A,16 oz.,American Pale Ale (APA),"Belfast, ME",1717,Tug Pale Ale,5.0%,Marshall Wharf Brewing Company
N/A,16 oz.,Russian Imperial Stout,"Belfast, ME",1716,Sexy Chaos,9.9%,Marshall Wharf Brewing Company
65,12 oz.,American IPA,"Missoula, MT",1714,Big Sky IPA,6.2%,Big Sky Brewing Company
40,12 oz.,English Pale Ale,"Missoula, MT",1713,Scape Goat Pale Ale,5.0%,Big Sky Brewing Company
35,12 oz.,American Pale Wheat Ale,"Missoula, MT",1712,Montana Trout Slayer Ale,5.0%,Big Sky Brewing Company
26,12 oz.,American Brown Ale,"Missoula, MT",1711,Moose Drool Brown Ale,5.1%,Big Sky Brewing Company
N/A,12 oz.,American IPA,"Atlanta, GA",1710,SweetWater IPA,6.4%,SweetWater Brewing Company
N/A,12 oz.,American Pale Ale (APA),"Atlanta, GA",1709,420 Extra Pale Ale,5.4%,SweetWater Brewing Company
N/A,12 oz.,Doppelbock,"Durango, CO",1708,Taster's Choice,7.4%,Ska Brewing Company
N/A,16 oz.,American Pale Wheat Ale,"Fort Collins, CO",1707,Snapshot,5.2%,New Belgium Brewing Company
N/A,12 oz.,Czech Pilsener,"Anchorage, AK",1706,King Street Pilsner,5.5%,King Street Brewing Company
11,12 oz.,Pumpkin Ale,"Papillion, NE",1705,Wick For Brains,6.1%,Nebraska Brewing Company
N/A,16 oz.,Cider,"St. John's, MI",1704,Uncle John's Apple Cherry Cider,6.5%,Uncle John's Fruit House Winery
N/A,16 oz.,Cider,"St. John's, MI",1703,Uncle John's Apricot Apple Cider,6.5%,Uncle John's Fruit House Winery
33,16 oz.,American Porter,"Aurora, IN",1702,Bourbon Barrel Aged Coconut Porter,5.6%,Great Crescent Brewery
60,16 oz.,American IPA,"Aurora, IN",1701,Great Crescent IPA,6.2%,Great Crescent Brewery
27,16 oz.,Dortmunder / Export Lager,"Aurora, IN",1700,Aurora Lager,5.7%,Great Crescent Brewery
22,16 oz.,American Blonde Ale,"Aurora, IN",1699,Great Crescent Blonde Ale,5.3%,Great Crescent Brewery
70,16 oz.,American IPA,"Los Angeles, CA",1698,Wolf Among Weeds IPA,8.0%,Golden Road Brewing
69,16 oz.,American IPA,"Worcester, MA",1697,Be Hoppy IPA,6.5%,Wormtown Brewery
111,12 oz.,American Double / Imperial IPA,"Brooklyn, NY",1696,Hi-Res,9.9%,Sixpoint Craft Ales
N/A,12 oz.,American Pale Ale (APA),"Tampa, FL",1695,Wiregrass Post-Prohibition Ale,6.3%,Cigar City Brewing Company
60,12 oz.,American IPA,"Tampa, FL",1694,Dry-Hopped On The High Seas Caribbean-Style IPA,7.0%,Cigar City Brewing Company
60,12 oz.,American IPA,"Tampa, FL",1693,Hopped on the High Seas (Citra),7.0%,Cigar City Brewing Company
60,12 oz.,American IPA,"Tampa, FL",1692,Hopped on the High Seas (Ahtanum),7.0%,Cigar City Brewing Company
22,12 oz.,Winter Warmer,"Minneapolis, MN",1691,Stir Crazy Winter Ale,6.5%,Indeed Brewing Company
N/A,12 oz.,American Pale Wheat Ale,"Fort Collins, CO",1690,Sunshine Wheat Beer,4.8%,New Belgium Brewing Company
N/A,12 oz.,American Stout,"Edwards, CO",1689,Snowcat Coffee Stout,5.9%,Crazy Mountain Brewing Company
42,12 oz.,American Amber / Red Ale,"York, PA",1688,American Hero,5.7%,Liquid Hero Brewery
20,12 oz.,Fruit / Vegetable Beer,"York, PA",1687,Schweet Ale,5.2%,Liquid Hero Brewery
75,12 oz.,American IPA,"York, PA",1686,Irregardless IPA,6.5%,Liquid Hero Brewery
64,12 oz.,American IPA,"Boynton Beach, FL",1685,Category 3 IPA,6.1%,Due South Brewing Company
N/A,12 oz.,American IPA,"Palisade, CO",1684,Hula Hoppie Session IPA,4.8%,Palisade Brewing Company
N/A,12 oz.,American Brown Ale,"Santa Cruz, CA",1683,Dread Brown Ale,5.4%,Santa Cruz Mountain Brewing
N/A,12 oz.,American White IPA,"Salt Lake City, UT",1682,Wasatch Ghostrider White IPA (2014),6.0%,Utah Brewers Cooperative
N/A,12 oz.,Fruit / Vegetable Beer,"Salt Lake City, UT",1681,Wasatch Apricot Hefeweizen,4.0%,Utah Brewers Cooperative
75,12 oz.,American Double / Imperial IPA,"Salt Lake City, UT",1680,Squatters Hop Rising Double IPA (2014),9.0%,Utah Brewers Cooperative
N/A,12 oz.,American Pale Ale (APA),"Salt Lake City, UT",1679,Squatters Full Suspension Pale Ale,4.0%,Utah Brewers Cooperative
19,12 oz.,Euro Dark Lager,"Brooklyn, NY",1678,KelSo Nut Brown Lager,5.7%,KelSo Beer Company
70,16 oz.,American IPA,"Richmond, VA",1677,The Great Return,7.5%,Hardywood Park Craft Brewery
135,12 oz.,American IPA,"Abingdon, VA",1676,Troopers Alley IPA,5.9%,Wolf Hills Brewing Company
95,12 oz.,American IPA,"Erie, PA",1675,Madra Allta,6.4%,Lavery Brewing Company
93,12 oz.,American Double / Imperial IPA,"Santee, CA",1674,Chaotic Double IPA,9.9%,Manzanita Brewing Company
88,12 oz.,American IPA,"Santee, CA",1673,Manzanita IPA,8.0%,Manzanita Brewing Company
25,12 oz.,American Blonde Ale,"Santee, CA",1672,Riverwalk Blonde Ale,6.0%,Manzanita Brewing Company
49,12 oz.,American Brown Ale,"Santee, CA",1671,Gillespie Brown Ale,9.5%,Manzanita Brewing Company
44,12 oz.,American Pale Ale (APA),"Santee, CA",1670,Manzanita Pale Ale,6.6%,Manzanita Brewing Company
24,12 oz.,American Amber / Red Ale,"Eugene, OR",1669,Oakshire Amber Ale,5.4%,Oakshire Brewing
27,12 oz.,American Stout,"Eugene, OR",1668,Overcast Espresso Stout,5.8%,Oakshire Brewing
70,12 oz.,American IPA,"Anchorage, AK",1667,King Street IPA,6.0%,King Street Brewing Company
10,12 oz.,Hefeweizen,"Anchorage, AK",1666,King Street Hefeweizen,5.7%,King Street Brewing Company
N/A,12 oz.,American Blonde Ale,"Anchorage, AK",1665,King Street Blonde Ale,4.9%,King Street Brewing Company
80,16 oz.,American Black Ale,"Chicago, IL",1664,Sobek & Set,8.0%,Finch's Beer Company
N/A,16 oz.,Belgian Strong Dark Ale,"Chicago, IL",1663,Nuclear Winter,8.6%,Finch's Beer Company
22,16 oz.,American Pale Wheat Ale,"Chicago, IL",1662,Wet Hot American Wheat Ale,5.0%,Finch's Beer Company
48,12 oz.,American IPA,"Seattle, WA",1661,Trailhead ISA,4.8%,Two Beers Brewing Company
27,12 oz.,American Amber / Red Ale,"Seattle, WA",1660,Immersion Amber,5.2%,Two Beers Brewing Company
70,12 oz.,American IPA,"Seattle, WA",1659,Evo IPA,6.2%,Two Beers Brewing Company
N/A,12 oz.,American Pale Ale (APA),"Durham, NC",1658,Cack-A-Lacky,5.0%,Fullsteam Brewery
N/A,12 oz.,American Pale Lager,"South Bend, IN",1657,Leprechaun Lager,4.0%,Four Horsemen Brewing Company
30,16 oz.,Scotch Ale / Wee Heavy,"Indianapolis, IN",1656,Wee Muckle,9.0%,Sun King Brewing Company
N/A,12 oz.,American Double / Imperial IPA,"Boise, ID",1655,Double Dagger Imperial IPA,9.2%,Sockeye Brewing Company
60,16 oz.,American Pale Ale (APA),"Lockland, OH",1654,Hop Bomber Rye Pale Ale,5.5%,Rivertown Brewing Company
45,12 oz.,American White IPA,"Boston, MA",1653,The Long Thaw White IPA,6.2%,Harpoon Brewery
N/A,16 oz.,American White IPA,"Green Bay, WI",1652,White Cap White IPA,4.2%,Hinterland Brewery
N/A,16 oz.,Fruit / Vegetable Beer,"Grand Rapids, MI",1651,Maize & Blueberry,5.6%,Brewery Vivant
N/A,12 oz.,American Amber / Red Ale,"Springdale, AR",1650,Arkansas Red,5.2%,Core Brewing & Distilling Company
15,16 oz.,Herbed / Spiced Beer,"San Luis Obispo, CA",1649,Chai Ale,5.1%,Central Coast Brewing Company
85,16 oz.,American IPA,"San Luis Obispo, CA",1648,Lucky Day IPA,7.2%,Central Coast Brewing Company
99,16 oz.,American Double / Imperial IPA,"San Luis Obispo, CA",1647,Terrace Hill Double IPA,9.5%,Central Coast Brewing Company
77,16 oz.,American Black Ale,"San Luis Obispo, CA",1646,Catch 23,7.5%,Central Coast Brewing Company
22,12 oz.,Märzen / Oktoberfest,"Westfield, MA",1645,Westfield Octoberfest,5.7%,Westfield River Brewing Company
20,12 oz.,Rye Beer,"Williamsburg, MA",1644,Banner American Rye,4.5%,Banner Beer Company
45,12 oz.,American Amber / Red Ale,"Williamsburg, MA",1643,Banner American Ale,3.5%,Banner Beer Company
N/A,16 oz.,Extra Special / Strong Bitter (ESB),"Columbus, OH",1642,Bleeding Buckeye Red Ale,5.7%,Elevator Brewing Company
92,16 oz.,American IPA,"Los Angeles, CA",1641,Better Weather IPA,9.4%,Golden Road Brewing
N/A,16 oz.,Kölsch,"Bellingham, WA",1640,Aslan Kölsch,4.8%,Aslan Brewing Company
N/A,16 oz.,American IPA,"Bellingham, WA",1639,Aslan IPA,7.7%,Aslan Brewing Company
N/A,16 oz.,American Amber / Red Ale,"Bellingham, WA",1638,Aslan Amber,7.7%,Aslan Brewing Company
N/A,16 oz.,Belgian Strong Dark Ale,"Bellingham, WA",1637,Bellingham Beer Week 2013 Collaboration,8.0%,Kulshan Brewery
N/A,16 oz.,American Pale Ale (APA),"Monument, CO",1636,Local 5 Pale Ale,5.6%,Pikes Peak Brewing Company
21,12 oz.,,"Tempe, AZ",1635,Kilt Lifter Scottish-Style Ale,6.0%,Four Peaks Brewing Company
N/A,12 oz.,American Pale Ale (APA),"Chicago, IL",1634,Alley Time,6.0%,Spiteful Brewing Company
N/A,12 oz.,Irish Red Ale,"Chicago, IL",1633,Fat Badger,5.8%,Spiteful Brewing Company
N/A,12 oz.,American Pale Wheat Ale,"Chicago, IL",1632,In the Weeds,5.5%,Spiteful Brewing Company
N/A,12 oz.,American Black Ale,"Baltimore, MD",1631,Brontide,5.0%,Stillwater Artisanal Ales
43,12 oz.,American Dark Wheat Ale,"Warrenville, IL",1630,Night Cat (2014),5.8%,Two Brothers Brewing Company
45,16 oz.,American IPA,"Boston, MA",1629,Rebel IPA,6.5%,Boston Beer Company
N/A,12 oz.,Winter Warmer,"Philadelphia, PA",1628,Festivus (1),7.2%,Manayunk Brewing Company
N/A,16 oz.,Munich Helles Lager,"Cleveland, OH",1627,Cleveland Beer Week 2013,5.3%,Buckeye Brewing
N/A,12 oz.,Märzen / Oktoberfest,"Philadelphia, PA",1626,Manayunk Oktoberfest,6.7%,Manayunk Brewing Company
21,12 oz.,Belgian Pale Ale,"Philadelphia, PA",1625,Belgian Style Session Ale,4.5%,Manayunk Brewing Company
N/A,12 oz.,American IPA,"Philadelphia, PA",1624,Manayunk IPA,5.5%,Manayunk Brewing Company
N/A,16 oz.,American IPA,"Shelbyville, IN",1623,Lift Off IPA,7.2%,Daredevil Brewing Company
31,16 oz.,American Pale Ale (APA),"Charlotte, NC",1622,Jam Session,5.1%,NoDa Brewing Company
80,16 oz.,American IPA,"Charlotte, NC",1621,Hop Drop 'N Roll IPA,7.2%,NoDa Brewing Company
17,12 oz.,Pumpkin Ale,"Fuquay-Varina, NC",1620,Pumpkin Beast,6.2%,Aviator Brewing Company
100,12 oz.,American Double / Imperial IPA,"Lake Barrington, IL",1619,Hop Slayer Double IPA,8.2%,Wild Onion Brewing Company
N/A,12 oz.,Pumpkin Ale,"Lake Barrington, IL",1618,Pumpkin Ale,4.5%,Wild Onion Brewing Company
24,12 oz.,Märzen / Oktoberfest,"Saint Louis, MO",1617,Morgan Street Oktoberfest,4.9%,Morgan Street Brewery
N/A,12 oz.,American Porter,"Tempe, AZ",1616,Pumpkin Porter,5.1%,Four Peaks Brewing Company
32,16 oz.,American Pale Ale (APA),"Seattle, WA",1615,The 12th Can™,4.5%,Hilliard's Beer
30,16 oz.,Czech Pilsener,"Eagle, CO",1614,Wood Splitter Pilsner,4.8%,Bonfire Brewing Company
